timestep,task
87,Take the tiger out of the red bowl and put it in the grey bowl.
88,Take the tiger out of the red bowl and put it in the grey bowl.
89,Take the tiger out of the red bowl and put it in the grey bowl.
90,Take the tiger out of the red bowl and put it in the grey bowl.
91,Take the tiger out of the red bowl and put it in the grey bowl.
92,Take the tiger out of the red bowl and put it in the grey bowl.
93,Take the tiger out of the red bowl and put it in the grey bowl.
94,Take the tiger out of the red bowl and put it in the grey bowl.
95,Take the tiger out of the red bowl and put it in the grey bowl.
96,Take the tiger out of the red bowl and put it in the grey bowl.
97,Take the tiger out of the red bowl and put it in the grey bowl.
98,Take the tiger out of the red bowl and put it in the grey bowl.
99,Take the tiger out of the red bowl and put it in the grey bowl.
100,Take the tiger out of the red bowl and put it in the grey bowl.
101,Take the tiger out of the red bowl and put it in the grey bowl.
102,Take the tiger out of the red bowl and put it in the grey bowl.
103,Take the tiger out of the red bowl and put it in the grey bowl.
104,Take the tiger out of the red bowl and put it in the grey bowl.
105,Take the tiger out of the red bowl and put it in the grey bowl.
106,Take the tiger out of the red bowl and put it in the grey bowl.
107,Take the tiger out of the red bowl and put it in the grey bowl.
